id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
25;Ростел -ао;RTKM;0.78%;81.25;+0.46%;95.20;283.04;+183%
26;AGRO-гдр;AGRO;0.74%;1486.8;-0.92%;85.12;200.13;-75%
27;Куйбазот;KAZT;0.73%;707.6;+2.02%;18.76;169.42;+456%
28;OZON-адр;OZON;0.72%;2867;-0.97%;192.86;583.69;-38%
29;ФосАгро ао;PHOR;0.66%;6736;-0.28%;36.63;873.22;-39%
30;ЭН+ГРУП ао;ENPG;0.62%;470.2;-1.43%;35.87;301.28;-60%
31;TCS-гдр;TCSG;0.58%;3446.5;-0.65%;244.19;686.69;-12%
32;МКБ ао;CBOM;0.57%;7.654;-0.14%;26.01;255.87;-28%
33;Совкомфлот;FLOT;0.5%;131.13;+1.56%;558.58;311.98;+522%
34;Транснф ап;TRNFP;0.48%;146400;+0.72%;347.53;227.63;+433%
35;Мечел ао;MTLR;0.48%;301.63;-2.56%;2 982.82;175.71;+52%
36;ВСМПО-АВСМ;VSMO;0.47%;34060;-4.06%;35.05;393.16;+69%
37;Система ао;AFKS;0.45%;16.647;-0.17%;53.24;160.20;-48%
38;Аэрофлот;AFLT;0.44%;38.29;-0.57%;45.70;152.47;-47%
39;Акрон;AKRN;0.4%;18830;-0.53%;2.86;692.14;-28%
40;Россети;FEES;0.39%;0.1164;-1.34%;189.69;245.41;+711%
41;ОргСинт ао;KZOS;0.39%;107.8;-3.84%;15.00;195.39;+1616%
42;Башнефт ап;BANE;0.38%;1765.5;+1%;182.37;407.79;+35%
43;FIVE-гдр;FIVE;0.35%;2174;-0.23%;61.32;590.53;+28%
44;Мечел ап;MTLR;0.35%;359.1;-1.52%;448.12;175.71;-30%
45;Самолет ао;SMLT;0.32%;3986.5;-0.15%;77.54;245.46;+21%
46;"МКПАО ""ВК""";VKCO;0.32%;618.2;-1.28%;374.68;140.96;+97%
47;ДВМП ао;FESH;0.29%;80.97;-3.41%;260.21;239.05;+173%
48;НМТП ао;NMTP;0.29%;11.055;-2.17%;119.91;213.88;+388%
49;+МосЭнерго;MSNG;0.28%;3.0535;+0.66%;9.91;121.33;+84%
50;Селигдар;SELG;0.27%;68.95;-2.3%;117.04;71.07;+121%
51;iПозитив;POSI;0.27%;2143.4;-0.2%;49.62;141.46;-30%
52;Юнипро ао;UPRO;0.26%;2.147;-1.24%;91.38;136.06;+160%
53;iQIWI;QIWI;0.25%;545.5;-1.27%;6.97;34.21;-51%
54;БСП ао;BSPB;0.24%;237.51;-1.86%;232.32;110.65;+2%
55;РусГидро;HYDR;0.23%;0.8126;+2.39%;175.84;359.39;+1322%
56;НКНХ ао;NKNC;0.22%;106.7;-5.99%;26.64;190.61;+1401%
57;Polymetal;POLY;0.2%;422.8;+6.9%;1 131.10;220.53;-22%
58;Сегежа;SGZH;0.2%;3.908;-0.81%;438.61;61.43;-31%
59;Лента ао;LENT;0.18%;712.5;-0.07%;2.18;82.58;+4%
60;GLTR-гдр;GLTR;0.18%;620.65;+0.4%;39.63;110.98;+259%
61;Распадская;RASP;0.18%;373.7;-1.66%;206.18;249.62;+142%
62;РСетиЛЭ-п;LSNG;0.18%;196.3;-0.51%;5.87;201.78;+63%
63;Ренессанс;RENI;0.16%;95.64;-1.4%;54.01;53.26;+86%
64;Ростел -ап;RTKM;0.16%;76.6;+0.72%;119.97;283.04;+107%
65;ETLN-гдр;ETLN;0.16%;79.5;-1.46%;20.87;30.48;-21%
66;iHHRU-адр;HHR;0.16%;3596;-0.11%;14.38;180.94;-11%
67;НКНХ ап;NKNC;0.15%;77;-2.7%;20.69;190.61;+390%
68;GEMC-гдр;GEMC;0.14%;834.8;-0.74%;5.27;75.06;-54%
69;ИНАРКТИКА;AQUA;0.13%;944;+0.05%;32.18;83.00;-5%
70;ЛСР ао;LSRG;0.13%;662.4;-1.46%;12.51;67.67;-19%
71;НКХП ао;NKHP;0.12%;952;-4.8%;78.67;64.72;+3%
72;FIXP-гдр;FIXP;0.11%;312.5;-2.86%;111.71;265.46;+889%
73;ОГК-2 ао;OGKB;0.1%;0.543;-2.11%;35.90;60.10;+275%
74;МГТС-4ап;MGTS;0.1%;1526;-0.91%;1.90;174.42;+51%
75;Аптеки36и6;APTK;0.1%;14.186;-1.28%;14.77;108.00;+123%
76;РСетиЦП ао;MRKP;0.1%;0.3185;-1.24%;15.60;35.93;+233%
77;РуссНфт ао;RNFT;0.1%;156;-0.13%;26.70;45.82;-3%
78;РСетиМР ао;MSRS;0.09%;1.2665;-0.86%;10.41;61.81;+95%
79;MDMG-гдр;MDMG;0.08%;811.9;+0.36%;4.31;60.99;+98%
80;ЭсЭфАй ао;SFIN;0.08%;571;+1.35%;19.64;63.45;+64%
81;ТГК-1;TGKA;0.08%;0.009588;-2.86%;75.03;37.00;+259%
82;ЭЛ5Энер ао;ELFV;0.07%;0.6496;-2.58%;47.27;23.03;+285%
83;М.видео;MVID;0.07%;177.3;-1.94%;41.78;31.91;+207%
84;РоссЦентр;MRKC;0.07%;0.5842;-1.85%;15.75;24.57;+169%
85;НоваБев ао;BELU;0.06%;5508;-0.31%;93.27;87.15;+26%
86;Россети Ур;MRKU;0.06%;0.3958;-1.25%;5.08;34.66;-93%
87;СОЛЛЕРС;SVAV;0.05%;759;-2.5%;37.15;23.95;+63%
88;CIAN-адр;CIAN;0.04%;672.4;-3%;36.25;47.94;+537%
89;ЭнергияРКК;RKKE;0.04%;23220;+1.09%;10.34;41.88;-62%
90;ДЭК ао;DVEC;0.04%;3.27;-2.97%;12.43;56.41;-26%
91;iВУШХолднг;WUSH;0.04%;236.1;-0.71%;80.39;26.32;+4%
92;ТГК-2;TGKB;0.04%;0.01132;-2.96%;20.90;16.52;+526%
93;ОргСинт ап;KZOS;0.04%;26.3;-4.92%;10.86;195.39;+679%
94;РСетиСЗ ао;MRKZ;0.03%;0.092;-3.97%;10.27;8.76;+31%
95;РсетВол ао;MRKV;0.03%;0.0546;+0.46%;15.84;10.28;+421%
96;ЧМК ао;CHMK;0.03%;10340;-0.96%;1.76;32.69;-59%
97;Таттел. ао;TTLK;0.03%;1.061;-2.66%;9.09;22.08;+361%
98;СПБ Биржа;SPBE;0.02%;88;-10.2%;1 145.74;11.52;+1397%
99;iАРТГЕН ао;ISKJ;0.02%;96.1;-0.93%;6.28;8.91;-15%
100;OKEY-гдр;OKEY;0.01%;34.54;-0.55%;2.78;9.29;+28%
